air_date,season,episode_overall,episode_in_season,song,original_artist,genre,original_release_year,years_since_release,performed_by,is_cameo,duet_with,version_covered,rerun,video_id,video_url,video_source,video_title,video_views,video_seconds
2020-07-02,1,153,153,It's Quiet Uptown,,Musical theatre,2015,5,Kelly Clarkson,no,,,no,aMm9SyEnb0c,https://www.youtube.com/watch?v=aMm9SyEnb0c,KC Videos archive,Kellyoke | It's Quiet Uptown,16000,99
2020-07-06,1,154,154,Circles,Post Malone,Rock,2019,1,Kelly Clarkson,no,,,no,weKHGyaVoi4,https://www.youtube.com/watch?v=weKHGyaVoi4,KC Videos archive,Kellyoke | Circles (Post Malone),9500,102
2020-07-07,1,155,155,Issues,Julia Michaels,Pop,2017,3,Kelly Clarkson,no,,,no,GdBERf2ghzo,https://www.youtube.com/watch?v=GdBERf2ghzo,KC Videos archive,Kellyoke | Issues (Julia Michaels),16000,99
2020-07-08,1,156,156,How Will I Know,Whitney Houston,R&B / Soul,1985,35,Kelly Clarkson,no,,,no,5ekqKkMR5J0,https://www.youtube.com/watch?v=5ekqKkMR5J0,KC Videos archive,Kellyoke | How Will I Know (Whitney Houston),218000,98
2020-07-09,1,157,157,Why Not Me,The Judds,Country,1984,36,Kelly Clarkson,no,,,no,71EfyWYXDUU,https://www.youtube.com/watch?v=71EfyWYXDUU,KC Videos archive,Kellyoke | Why Not Me (The Judds),42000,100
2020-07-13,1,158,158,The Climb,Miley Cyrus,Country,2009,11,Kelly Clarkson,no,,,no,F55hLEwS7Cw,https://www.youtube.com/watch?v=F55hLEwS7Cw,KC Videos archive,Kellyoke | The Climb (Miley Cyrus),101000,97
2020-07-14,1,159,159,Linger,The Cranberries,Rock,1993,27,Kelly Clarkson,no,,,no,E_qxj14vHdY,https://www.youtube.com/watch?v=E_qxj14vHdY,KC Videos archive,Kellyoke | Linger (The Cranberries),65000,96
2020-07-15,1,160,160,I'm Like a Bird,Nelly Furtado,World,2000,20,Kelly Clarkson,no,,,no,kcFVPdRJFh8,https://www.youtube.com/watch?v=kcFVPdRJFh8,KC Videos archive,Kellyoke | I'm Like A Bird (Nelly Furtado),22000,106
2020-08-03,1,161,161,How Do You Sleep?,Sam Smith,Pop,2019,1,Kelly Clarkson,no,,,no,GP0SO3Bp4yE,https://www.youtube.com/watch?v=GP0SO3Bp4yE,KC Videos archive,Kellyoke | How Do You Sleep (Sam Smith),30000,103
2020-08-04,1,162,162,Blame It on Your Heart,Patty Loveless,Country,1993,27,Kelly Clarkson,no,,,no,kCqjGqA4YpU,https://www.youtube.com/watch?v=kCqjGqA4YpU,KC Videos archive,Kellyoke | Blame It On Your Heart (Patty Loveless),27000,99
